127.0.0.1 - - [29/Mar/2024:01:40:55 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:40:58 +0900] "GET /Bark/main.jsp HTTP/1.1" 200 5073
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:40:58 +0900] "GET /Bark/css/headerFooter.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:40:58 +0900] "GET /Bark/css/root.css HTTP/1.1" 200 1484
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:41:01 +0900] "GET /Bark/index.jsp?target=./include/login HTTP/1.1" 200 4797
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:41:01 +0900] "GET /Bark/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:41:03 +0900] "POST /Bark/include/loginProc.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:41:03 +0900] "GET /Bark/main.jsp HTTP/1.1" 200 6526
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:41:03 +0900] "GET /Bark/images/icons/logout.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:41:03 +0900] "GET /Bark/images/icons/book-heart.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:41:03 +0900] "GET /Bark/images/icons/user-detail.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:41:03 +0900] "GET /Bark/images/icons/user-circle-rose-white.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:41:03 +0900] "GET /Bark/images/icons/post.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:41:23 +0900] "GET /Bark/index.jsp?target=./include/board HTTP/1.1" 200 7040
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:41:23 +0900] "GET /Bark/images/icons/user-circle-bean-brown.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:42:56 +0900] "GET /Bark/index.jsp?target=./include/board HTTP/1.1" 200 7040
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:42:56 +0900] "GET /Bark/css/root.css HTTP/1.1" 200 1484
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:42:56 +0900] "GET /Bark/css/headerFooter.css HTTP/1.1" 200 3581
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:42:56 +0900] "GET /Bark/images/bark_logo-removebg.png HTTP/1.1" 200 163235
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:42:56 +0900] "GET /Bark/images/icons/user-detail.png HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:42:56 +0900] "GET /Bark/images/icons/user-circle-bean-brown.png HTTP/1.1" 200 836
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:42:56 +0900] "GET /Bark/images/icons/post.png HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:42:56 +0900] "GET /Bark/images/icons/book-heart.png HTTP/1.1" 200 350
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:42:56 +0900] "GET /Bark/css/board.css HTTP/1.1" 200 1726
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:42:56 +0900] "GET /Bark/images/icons/logout.png HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:42:56 +0900] "GET /favicon.ico HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:42:58 +0900] "GET /Bark/index.jsp?target=./include/board HTTP/1.1" 200 7040
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:42:58 +0900] "GET /Bark/images/icons/user-circle-bean-brown.png HTTP/1.1" 200 836
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:42:58 +0900] "GET /Bark/css/headerFooter.css HTTP/1.1" 200 3581
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:42:58 +0900] "GET /Bark/css/root.css HTTP/1.1" 200 1484
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:42:58 +0900] "GET /Bark/images/icons/post.png HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:42:58 +0900] "GET /Bark/images/icons/user-detail.png HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:42:58 +0900] "GET /Bark/images/icons/book-heart.png HTTP/1.1" 200 350
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:42:58 +0900] "GET /Bark/css/board.css HTTP/1.1" 200 1726
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:42:58 +0900] "GET /Bark/images/icons/logout.png HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:42:58 +0900] "GET /Bark/images/bark_logo-removebg.png HTTP/1.1" 200 163235
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:42:58 +0900] "GET /favicon.ico HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:42:59 +0900] "GET /Bark/index.jsp?target=./include/board HTTP/1.1" 200 7040
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:42:59 +0900] "GET /Bark/css/root.css HTTP/1.1" 200 1484
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:42:59 +0900] "GET /Bark/images/icons/user-detail.png HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:42:59 +0900] "GET /Bark/images/icons/post.png HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:42:59 +0900] "GET /Bark/css/headerFooter.css HTTP/1.1" 200 3581
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:42:59 +0900] "GET /Bark/images/icons/user-circle-bean-brown.png HTTP/1.1" 200 836
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:42:59 +0900] "GET /Bark/images/icons/book-heart.png HTTP/1.1" 200 350
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:42:59 +0900] "GET /Bark/css/board.css HTTP/1.1" 200 1726
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:42:59 +0900] "GET /Bark/images/icons/logout.png HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:42:59 +0900] "GET /Bark/images/bark_logo-removebg.png HTTP/1.1" 200 163235
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:42:59 +0900] "GET /favicon.ico HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:43:10 +0900] "GET /Bark/index.jsp?target=./include/board HTTP/1.1" 200 7040
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:43:10 +0900] "GET /Bark/css/root.css HTTP/1.1" 200 1484
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:43:10 +0900] "GET /Bark/images/icons/post.png HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:43:10 +0900] "GET /Bark/images/icons/user-detail.png HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:43:10 +0900] "GET /Bark/images/icons/user-circle-bean-brown.png HTTP/1.1" 200 836
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:43:10 +0900] "GET /Bark/images/bark_logo-removebg.png HTTP/1.1" 200 163235
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:43:10 +0900] "GET /Bark/css/headerFooter.css HTTP/1.1" 200 3585
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:43:10 +0900] "GET /Bark/images/icons/book-heart.png HTTP/1.1" 200 350
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:43:10 +0900] "GET /Bark/css/board.css HTTP/1.1" 200 1726
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:43:10 +0900] "GET /Bark/images/icons/logout.png HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:43:10 +0900] "GET /favicon.ico HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:43:10 +0900] "GET /Bark/index.jsp?target=./include/board HTTP/1.1" 200 7040
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:43:10 +0900] "GET /Bark/images/icons/user-circle-bean-brown.png HTTP/1.1" 200 836
0:0:0:0:0:0:0:1 - - [29/Mar/2024:01:43:10 +0900] "GET /Bark/images/icons/user-detail.png HTTP/1.1" 200 367
